Index;Close
1;5699.399902
2;5703.350098
3;5730.299805
4;5778.370117
5;5788.359863
6;5794.629883
7;5788.799805
8;5816.509766
9;5881.459961
10;5878.120117
11;5856.770020
12;5877.589844
13;5885.299805
14;5741.939941
15;5708.180176
16;5751.819824
17;5727.069824
18;5700.890137
19;5681.479980
20;5772.220215
21;5726.310059
22;5782.390137
23;5779.870117
24;5803.109863
25;5777.589844
26;5671.600098
27;5753.029785
28;5653.020020
29;5646.919922
30;5596.959961
31;5648.819824
32;5597.899902
33;5656.470215
34;5694.149902
35;5709.799805
36;5778.950195
37;5793.359863
38;5838.080078
39;5839.740234
40;5880.100098
41;5916.160156
42;5921.220215
43;5921.529785
44;5941.370117
45;5930.649902
46;5950.729980
47;5917.029785
48;5908.919922
49;5880.330078
50;5895.169922
51;5914.229980
52;5891.200195
53;5899.910156
54;5934.729980
55;5926.350098
56;5919.390137
57;5788.189941
58;5831.529785
59;5908.169922
60;5907.729980
61;5917.419922
62;5796.319824
63;5790.910156
64;5786.540039
65;5873.330078
66;5851.779785
67;5834.439941
68;5822.529785
69;5838.080078
70;5862.140137
71;5932.899902
72;5988.600098
73;5987.899902
74;5932.729980
75;5951.129883
76;5964.310059
77;5913.370117
78;5980.529785
79;5995.640137
80;6004.379883
81;5968.819824
82;5988.000000
83;5981.120117
84;5991.080078
85;5973.609863
86;5934.910156
87;5932.319824
88;5867.350098
89;5881.339844
90;5937.790039
91;5933.069824
92;5979.299805
93;5981.919922
94;5995.060059
95;5998.839844
96;6057.140137
97;6064.569824
98;6058.529785
99;6063.520020
100;6081.250000
101;6069.990234
102;6092.450195
103;6114.529785
104;6122.609863
105;6114.350098
106;6092.620117
107;6108.819824
108;6067.830078
109;6080.220215
110;6055.040039
111;6037.870117
112;6213.470215
113;6227.589844
114;6248.560059
115;6248.649902
116;6236.390137
117;6295.580078
118;6313.609863
119;6320.779785
120;6345.810059
121;6312.209961
122;6309.069824
123;6316.180176
124;6293.640137
125;6258.359863
126;6339.140137
127;6314.509766
128;6308.609863
129;6378.629883
130;6386.120117
131;6409.290039
132;6405.970215
133;6422.560059
134;6311.379883
135;6365.560059
136;6337.870117
137;6263.700195
138;6265.109863
139;6293.049805
140;6316.279785
141;6344.569824
142;6393.890137
143;6383.649902
144;6394.669922
145;6389.910156
146;6466.319824
147;6513.270020
148;6480.669922
149;6472.479980
150;6472.689941
151;6465.169922
152;6433.160156
153;6435.149902
154;6441.419922
155;6396.419922
156;6511.339844
157;6575.799805
158;6584.580078
159;6653.290039
160;6676.629883
161;6677.939941
162;6662.660156
163;6708.490234
164;6758.540039
165;6737.140137
166;6810.279785
167;6811.379883
168;6834.330078
169;6906.279785
170;6963.459961
171;6919.350098
172;6916.299805
173;7022.970215
174;6988.319824
175;6930.729980
176;6949.990234
177;6901.500000
178;6760.290039
179;6495.919922
180;6665.979980
181;6582.020020
182;6306.100098
183;6412.680176
184;6523.850098
185;6553.859863
186;6675.029785
187;6794.919922
188;6770.660156
189;6779.689941
190;6759.259766
191;6761.850098
192;6896.600098
193;6989.100098
194;6900.350098
195;6854.419922
196;6750.540039
197;6811.040039
198;6881.279785
199;6913.020020
200;6929.390137
201;6966.430176
202;7101.180176
203;7131.120117
204;7046.509766
205;7040.979980
206;7030.970215
207;7019.950195
208;6864.879883
209;6885.919922
210;6853.450195
211;6682.259766
212;6508.089844
213;6753.830078
214;6529.839844
